Property Code,Province,Property,Occupied Units,Storage Rev,Avg Rev,Occupied Units.1,Storage Rev.1,Avg Rev.1,Occupied Units.2,Storage Rev.2,Avg Rev.2,Occupied Units.3,Storage Rev.3,Avg Rev.3,Occupied Units.4,Storage Rev.4,Avg Rev.4,Occupied Units.5,Storage Rev.5,Avg Rev.5,Occupied Units.6,Storage Rev.6,Avg Rev.6,Occupied Units.7,Storage Rev.7,Avg Rev.7,Storage Units Available,Occupied Units.8,Occ%,Avg Percentage of res Taking Storage,Current Storage Charge,Comp 1 Storage Charge,Comp 2 Storage Charge,Comp 3 Storage Charge,Comp 4 Storage Charge,Average Charge,Our Storage vs Comp Storage,Remarks,Occupied Units.9,Occupied Units.10,Occupied Units.11,Occupied Units.12,Occupied Units.13,Occupied Units.14,Occupied Units.15,Occupied Units.16,Unnamed: 47,Occupied Units.17,Current Storage Charge.1,Comp 1 Storage Charge.1,Comp 2 Storage Charge.1,Comp 3 Storage Charge.1,Comp 4 Storage Charge.1,Average Charge ,Our Storage vs Comp Storage.1,Remarks.1,Unnamed: 57,Current Storage Charge.2,Comp 1 Storage Charge.2,Comp 2 Storage Charge.2,Comp 3 Storage Charge.2,Comp 4 Storage Charge.2,Average Charge.1,Our Storage vs Comp Storage.2,Remarks.2,Occupied Units.18,Occupied Units.19,Occupied Units.20
y40790,AB,Fifteen15,153.41935483871,1056.23,6.884594196804023,157.535714285714,1125.0,7.141237814554536,160.258064516129,1125.0,7.019927536231886,159.3,1025.0,6.434400502197112,161.870967741935,1075.0,6.641092068553228,162.5,1050.0,6.461538461538462,166.677419354839,975.0,5.849622604993216,169.806451612903,975.0,5.741831306990889,60.0,30.0,0.5,,50,50.0,,,,50.0,0.0,,,30.0,,30.0,,28.0,26.0,26.0,26.0,,50,50.0,,,,50.0,0.0,,,50,0,0,0,0,0.0,,"no storage lockers for rent in chelsea estates, skygate towers, dorsett square or royal plaza",,,27.0
y31251,BC,NorthWoods Village,77.258064516129,1400.0,18.12108559498957,77.8571428571429,1450.0,18.623853211009163,75.4193548387097,1550.0,20.551753635585968,73.8666666666667,1604.08,21.715884476534285,70.4516129032258,1364.52,19.368186813186817,65.8333333333333,1150.0,17.468354430379755,69.0322580645161,1350.0,19.55607476635515,74.1290322580645,1350.0,18.211488250652746,70.0,59.0,0.8428571428571429,,50,20.0,20.0,60,50,37.5,12.5,"Saint George, Sundance, Royals, Magnolia",62.0,58.0,,58.0,58.0,51.0,51.0,56.0,55.0,55.0,50,20.0,20.0,60,50,37.5,12.5,"Saint George, Sundance, Royals, Magnolia",,50,25 S/ 50 L,50,40,60,50.0,,,55.0,55.0,53.0
y31300,BC,Metropolitan Towers,397.129032258065,1490.0,3.751929169035817,397.571428571429,1715.0,4.313690262306858,400.58064516129,1765.0,4.406104042518927,402.6,1710.0,4.247391952309985,403.258064516129,1690.0,4.190864730821534,407.433333333333,1790.0,4.393356786386325,409.806451612903,1915.0,4.672937657430733,411.258064516129,1915.0,4.656443642638639,187.0,206.0,1.1016042780748663,,25,20.0,25.0,     N/A,  N/A,22.5,2.5,,206.0,193.0,,198.0,202.0,200.0,200.0,200.0,198.0,196.0,25,20.0,25.0,     N/A,  N/A,22.5,2.5,,,25,20,,,,20.0,,P-5,196.0,196.0,204.0
y31202,BC,Larchway Gardens,61.741935483871,415.0,6.721525600835942,61.4642857142857,540.0,8.785589773387567,61.0,490.0,8.032786885245901,60.4333333333333,490.0,8.108108108108112,61.9677419354839,490.0,7.907339927121288,62.8666666666667,515.0,8.19194061505832,58.9677419354839,455.0,7.716083150984679,60.5806451612903,455.0,7.5106496272630485,63.0,41.0,0.6507936507936508,,25,20.0,25.0,10,  N/A,18.333333333333332,6.666666666666668,,42.0,42.0,,42.0,47.0,46.0,46.0,46.0,46.0,46.0,25,20.0,25.0,10,  N/A,18.333333333333332,6.666666666666668,,,25,20,,,,20.0,,locked in the parking area,46.0,46.0,46.0
y63135,BC,The Saint George,0.0,0.0,0.0,87.9285714285714,0.0,0.0,85.9032258064516,450.0,5.2384528726999635,85.1333333333333,450.0,5.285826155050903,89.3870967741936,390.0,4.3630458318296625,90.6666666666667,470.0,5.183823529411763,89.0645161290323,390.0,4.378848243390074,93.6129032258064,390.0,4.166092350103379,30.0,30.0,1.0,,20,50.0,20.0,60,50,45.0,-25.0,"Northwoods, Sundance, Royals, Magnolia",30.0,27.0,,19.0,27.0,28.0,28.0,28.0,28.0,27.0,20,50.0,20.0,60,50,45.0,-25.0,"Northwoods, Sundance, Royals, Magnolia",,50,30,40,25-40,60,43.333333333333336,,,27.0,27.0,29.0
y63060,BC,Panarama Tower,193.258064516129,1750.0,9.055249540978135,193.785714285714,1770.0,9.133800221157404,195.41935483871,1789.2,9.15569494882798,197.933333333333,1850.0,9.346581340518709,200.451612903226,1890.0,9.428709365947851,201.7,1890.0,9.370352007932574,198.516129032258,1870.0,9.419889502762434,198.838709677419,1870.0,9.404607397793658,207.0,,0.0,,,,,,,0.0,0.0,,,108.0,,113.0,110.0,115.0,115.0,117.0,117.0,117.0,,,,,,0.0,0.0,,,25,25,30,,,27.5,,We can start charging $30 to allign all our Bby properties,117.0,117.0,114.0
y31600,BC,Arbour Place,213.709677419355,250.0,1.169811320754716,218.892857142857,225.0,1.0279001468428788,218.774193548387,225.0,1.028457682099676,224.2,200.0,0.8920606601248885,226.548387096774,225.0,0.9931653139683904,228.133333333333,225.0,0.9862653419053199,231.41935483871,200.0,0.8642319487036508,236.161290322581,200.0,0.8468788416882926,253.0,,0.0,,,,,,,0.0,0.0,,,137.0,,138.0,141.0,137.0,138.0,140.0,140.0,139.0,,,,,,0.0,0.0,,,25,25,30,,,27.5,,We can start charging $30 to allign with Hazel,139.0,139.0,137.0
y31201,BC,Dunway Court,45.9677419354839,240.0,5.221052631578944,44.9285714285714,240.0,5.341812400635933,45.6774193548387,180.0,3.940677966101696,44.2333333333333,210.0,4.747550866616431,44.8064516129032,270.0,6.025917926565878,46.5,270.0,5.806451612903226,47.7096774193548,342.6,7.180933062880332,49.0,342.6,6.991836734693878,49.0,27.0,0.5510204081632653,,30,20.0,25.0,10,  N/A,18.333333333333332,11.666666666666668,,27.0,26.0,,27.0,29.0,28.0,28.0,27.0,27.0,27.0,30,20.0,25.0,10,  N/A,18.333333333333332,11.666666666666668,,,30,20,,,,20.0,,located in the parking area ,27.0,27.0,27.0
y63130,BC,Sundance Apartments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.1,0.0,92.9666666666667,560.0,6.023664395840801,93.6774193548387,580.0,6.191460055096419,96.1666666666667,550.0,5.719237435008663,95.7096774193548,600.0,6.268958543983825,93.5483870967742,600.0,6.413793103448275,129.0,79.0,0.6124031007751938,,20,50.0,20.0,60,50,45.0,-25.0,"Northwoods, Saint George, Royals, Magnolia",70.0,68.0,,55.0,65.0,65.0,65.0,58.0,59.0,59.0,20,50.0,20.0,60,50,45.0,-25.0,"Northwoods, Saint George, Royals, Magnolia",,30,30,40,25-40,60,43.333333333333336,,,59.0,59.0,59.0
y63075,BC,Bayview Coal Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,
y63070,BC,Yaletown 939,,,,,,,,,,,,,,,,,,,,,,,,,106.0,76.0,0.7169811320754716,,35,30.0,25.0,75,,43.333333333333336,-8.333333333333336,,76.0,,,,,,,,,,35,30.0,25.0,75,,43.333333333333336,-8.333333333333336,,,,,,,,0.0,,,,,
y53650,ON,Richmond Hill Apartments,272.967741935484,1838.48,6.735154809737647,272.928571428571,1871.85,6.858387856582057,273.064516129032,1862.82,6.821904311872423,271.666666666667,1934.08,7.1193128834355734,270.806451612903,1929.33,7.124387135199529,273.4,2130.97,7.794330651060717,275.709677419355,2136.38,7.748658008658005,277.741935483871,2136.38,7.691960511033682,31.0,194.0,6.258064516129032,,20,20.0,,,,20.0,0.0,Total # of lockers is 116 for 15 Baif & 109 for 45 Baif,,167.0,,168.0,156.0,175.0,175.0,174.0,173.0,171.0,20,20.0,,,,20.0,0.0,Total # of lockers is 116 for 15 Baif & 109 for 45 Baif,,25,35,0,0,18,13.25,,1.) 165 Colborne 2.) 110 Inverlochy - 1 Locker included 3.)9960 Bayview Ave. - No Lockers 4.) Genesis Place,171.0,171.0,171.0
y65165,ON,50 Laurier,177.322580645161,1372.41,7.739623430962356,183.928571428571,1192.41,6.483005825242734,190.064516129032,1282.41,6.747235234215895,188.366666666667,1206.31,6.404052380109704,186.483870967742,1166.31,6.254213803840163,191.9,1189.29,6.197446586763939,195.290322580645,1476.8,7.562074661380911,199.193548387097,1476.8,7.413894736842097,64.0,50.0,0.78125,,25,50.0,,,,50.0,-25.0,,,43.0,,39.0,,35.0,35.0,35.0,34.0,34.0,25,50.0,,,,50.0,-25.0,,,25,0,0,0,,0.0,25-50-65,"ONE80FIVE LYON,  BALMORAL- 99 RANGE RD, Clarendon apt 20,24 York St",34.0,34.0,33.0
y53620,ON,Lions Gate,103.0,140.61,1.3651456310679613,103.0,140.61,1.3651456310679613,103.0,140.61,1.3651456310679613,104.533333333333,140.61,1.3451211734693922,104.935483870968,140.61,1.3399661850599416,103.966666666667,140.61,1.3524527092016632,102.225806451613,140.61,1.3754843799305763,100.0,140.61,1.4061000000000001,29.0,29.0,1.0,,40,50.0,70.0,,,60.0,-20.0,As of November 1st,,23.0,,24.0,20.0,24.0,24.0,24.0,24.0,24.0,40,50.0,70.0,,,60.0,-20.0,As of November 1st,,25,,,,,0.0,,Lockers only for the residents in the tower,24.0,24.0,23.0
y65160,ON,Applewood on the Park,160.967741935484,989.79,6.148995991983962,160.178571428571,914.79,5.711063545150517,163.032258064516,824.79,5.059060150375944,163.266666666667,914.79,5.603042057982838,163.354838709677,914.79,5.600017772511862,164.3,964.79,5.87212416311625,163.935483870968,974.46,5.944167650531278,163.129032258065,974.46,5.973553490211571,110.0,95.0,0.8636363636363636,,25,,,,,0.0,25.0,Price raised Nov 1/21,96.0,74.0,,77.0,76.0,78.0,78.0,78.0,78.0,77.0,25,,,,,0.0,25.0,Price raised Nov 1/21,,25,En suite,en suite,0,en suite,0.0,25,,77.0,77.0,75.0
y55275,ON,Lexington Grand,146.354838709677,855.58,5.8459290279920815,145.964285714286,851.43,5.833139221923159,145.548387096774,795.02,5.462238475177312,148.833333333333,831.35,5.585778275475937,149.935483870968,850.02,5.6692383820998185,149.6,850.02,5.681951871657754,150.0,890.02,5.933466666666667,149.967741935484,890.02,5.93474295547429,26.0,20.0,0.7692307692307693,,40,35.0,,,,35.0,5.0,"1 locker vacant, ",22.0,21.0,,22.0,21.0,19.0,19.0,18.0,18.0,18.0,40,35.0,,,,35.0,5.0,"1 locker vacant, ",,40,,,,,0.0,,,18.0,18.0,15.0
y65225,ON,Widdicombe Place,263.903225806452,2985.3,11.312101210120996,261.714285714286,3074.42,11.747237991266363,260.903225806452,2949.65,11.30553288822946,263.966666666667,3088.26,11.699431746432618,266.225806451613,2960.52,11.12033442384587,264.0,2948.71,11.169356060606061,263.870967741935,2967.33,11.245382640586818,265.741935483871,2967.33,11.16620903131828,294.0,283.0,0.9625850340136054,,40,50.0,70.0,,,60.0,-20.0,275 regular lockers and 19 private,232.0,211.0,,206.0,,211.0,211.0,211.0,208.0,206.0,40,50.0,70.0,,,60.0,-20.0,275 regular lockers and 19 private,,45,,,,,0.0,,"2000 Islington, Kingsway Village, Lincoln Towwers, Old Mill Towers, ",206.0,206.0,212.0
y55270,ON,Highrise on Lena,266.096774193548,834.96,3.1378057946417792,263.035714285714,834.96,3.174321792260696,262.774193548387,834.96,3.177480972256323,257.866666666667,834.96,3.2379524301964797,259.677419354839,818.6,3.1523726708074498,262.466666666667,850.28,3.2395732791465544,262.483870967742,881.97,3.360092171562,263.870967741935,881.97,3.3424290953545297,36.0,29.0,0.8055555555555556,,45,35.0,35.0,,,35.0,10.0,7-8 available lockers,,0.0,,,,,,,,,45,35.0,35.0,,,35.0,10.0,7-8 available lockers,,45,,,,,0.0,,,,,
y53590,ON,Cloisters of the Don,351.322580645161,1209.04,3.4413956477825756,352.857142857143,1209.04,3.426429149797569,348.903225806452,1209.04,3.465258875739641,345.933333333333,1171.51,3.386519560608984,345.290322580645,1111.51,3.219059230194321,344.733333333333,1111.51,3.224260297814739,338.870967741935,1211.51,3.5751366016182824,336.032258064516,1211.51,3.605338389171548,151.0,145.0,0.9602649006622517,,$25/$50,,,,,0.0,0.0,5-6 lockers + are being used for QuadReal site storage -will review and do an audit,,0.0,,,,,,,,,$25/$50,,,,,0.0,0.0,5-6 lockers + are being used for QuadReal site storage -will review and do an audit,,,,,,,0.0,,,,,
y53640,ON,Residences on Bloor,447.967741935484,3418.57,7.631286094908906,440.964285714286,3564.51,8.083443751518583,437.838709677419,3590.18,8.199777499447439,435.366666666667,3332.5,7.654467498660127,439.225806451613,3290.38,7.491317567567567,436.333333333333,3408.57,7.811848739495805,442.290322580645,3589.43,8.115551746772667,465.225806451613,3589.43,7.715457634170017,229.0,172.0,0.7510917030567685,,$20 - $35,25.0,,,,25.0,0.0,Rates for new residents: small - $25; Large - $35; old residents has free locker/s,121.0,133.0,,151.0,147.0,156.0,155.0,158.0,159.0,161.0,$20 - $35,25.0,,,,25.0,0.0,Rates for new residents: small - $25; Large - $35; old residents has free locker/s,,30-50,50,,,,50.0,,,161.0,161.0,158.0
y50680,ON,57 Charles at Bay,224.032258064516,1259.26,5.6208869690424805,222.714285714286,1197.39,5.37635022450288,220.129032258065,1108.89,5.037454572098466,226.7,1108.89,4.89144243493604,227.935483870968,1070.05,4.6945301443532355,229.4,1069.5,4.662162162162162,230.290322580645,1124.06,4.881056170331982,236.612903225806,1124.06,4.750628493524208,165.0,246.0,1.490909090909091,,25,30.0,35.0,,,32.5,-7.5,Total # of lockers is 116 for 15 Baif & 109 for 45 Baif,86.0,61.0,,85.0,90.0,89.0,89.0,90.0,90.0,95.0,25,30.0,35.0,,,32.5,-7.5,Total # of lockers is 116 for 15 Baif & 109 for 45 Baif,,30,55,120,80,0,63.75,,for comp 4 one locker included with rental (55 Charles),95.0,95.0,99.0
y55265,ON,Regency on Main,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,"# of lockers 238, old residents have free lockers and office about 10 ",,0.0,,,,,,,,,,,,,,0.0,0.0,"# of lockers 238, old residents have free lockers and office about 10 ",,,,,,,0.0,,,,,
y50121,ON,8 Silver Maple Court,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,No Storage at this property,,0.0,,,,,,,,,,,,,,0.0,0.0,No Storage at this property,,,,,,,0.0,,"City View Inside parking $100.00 - Storage $50.00 - 9 &11 Lisa Parking $85.00 and &75.00, No Storage - 2&4 Hanover Parking $85.00 and $75.00, No storage - 2, 4 & 6 SMC Parking $85.00 and $75.00, No Storage",,,
y50670,ON,Galleria Residences,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,no storage lockers,,,
y53630,ON,Mississauga Place,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,No lockers,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,No lockers,,,,,,,0.0,,no storage lockers,,,
y53600,ON,Georgian Court Estates,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,no lockers,,0.0,,,,,,,,,,,,,,0.0,0.0,no lockers,,,,,,,0.0,,No Storage Lockers ,,,
y53660,ON,Waterford Tower,,,,,,,,,,,,,,,,,,,,,,,,,29.0,28.0,0.9655172413793104,,,,,,,0.0,0.0,No lockers,28.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,No lockers,,,,,,,0.0,,no storage lockers,,,
y53580,ON,Bristol Court,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,No lockers,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,No lockers,,,,,,,0.0,,no storage lockers,,,
y50131,ON,10 Lisa,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,No Storage at this property,,,,,,,,,,,,,,,,0.0,0.0,No Storage at this property,,,,,,,0.0,,"City View Inside parking $100.00 - Storage $50.00 - 9 &11 Lisa Parking $85.00 and &75.00, No Storage - 2&4 Hanover Parking $85.00 and $75.00, No storage - 2, 4 & 6 SMC Parking $85.00 and $75.00, No Storage",,,
y53000,ON,Bayview Mews,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,No lockers,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,No lockers,,,,,,,0.0,,no storage lockers,,,
y31602,BC,Hazel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,30,50,30,30,incl,36.666666666666664,30-50-30-30-incl,"Amazing Brentwood, Monencito Towers, Horizon Towers, The George",,,75.0
y52950,ON,Bretton Place,555.129032258065,3167.34,5.705592422569581,550.25,3163.02,5.748332576101772,542.290322580645,2795.18,5.154397715781335,537.033333333333,2884.4,5.3709887654397654,529.354838709677,3044.63,5.751586227909816,526.033333333333,2964.52,5.635612445345672,532.0,3171.16,5.960827067669173,536.612903225806,3171.16,5.90958581304479,591.0,100.0,0.1692047377326565,,35,70.0,35.0,,,52.5,-17.5,,,106.0,,104.0,101.0,104.0,105.0,106.0,106.0,106.0,35,70.0,35.0,,,52.5,-17.5,,,,,,,,0.0,,,106.0,106.0,115.0
